# Best Distance Estimates for Pulsars
# Generated by get_distance.py
#
# Methods (in priority order):
#   Catalog_PX - Cornell parallax catalog (VLBI/Optical/Timing, March 2025)
#   VLBI       - Legacy published VLBI parallax (geometric)
#   Timing_PX  - Timing parallax from .par file
#   LK_Parallax- Lutz-Kelker corrected parallax
#   PBDOT_Shk  - Distance from Shklovskii effect inversion
#   DM_YMW16   - DM-based distance (YMW16 model)
#   DM_NE2001  - DM-based distance (NE2001 model)
#   Kinematic  - Kinematic distance from proper motion
#
# Pulsar          Dist(kpc)   Err(kpc)  Rel.Err Method       Notes
#------------------------------------------------------------------------------------------
  J0030+0451         0.3289     0.0054     1.6% Catalog_PX   Ding et al. (2023) (VLBI), PX=3.040±0.050 mas
  J0125-2327         1.3484     0.0912     6.8% Timing_PX    PX=0.742±0.050 mas
  J0437-4715         0.1563     0.0013     0.8% Catalog_PX   Deller et al. (2008) (VLBI), PX=6.396±0.054 mas
  J0610-2100         1.3699     0.1877    13.7% Catalog_PX   Ding et al. (2023) (VLBI), PX=0.730±0.100 mas
  J0613-0200         0.4762     0.1361    28.6% Catalog_PX   Hotan et al. (2006) (Timing), PX=2.100±0.600 mas
  J0614-3329         0.5702     0.0854    15.0% Timing_PX    PX=1.754±0.263 mas
  J0636-3044         0.6399     0.4440    69.4% Timing_PX    PX=1.563±1.084 mas
  J0645+5158         0.7143     0.2041    28.6% Catalog_PX   Stovall et al. (2014) (Timing), PX=1.400±0.400 mas
  J0711-6830         0.8456     0.5074    60.0% DM_YMW16     DM=18.41, ne=0.020
  J0751+1807         1.5152     0.3444    22.7% Catalog_PX   Guillemot et al. (2016) (Timing), PX=0.660±0.150 mas
  J0900-3144         0.7941     0.1680    21.2% Timing_PX    PX=1.259±0.266 mas
  J0931-1902         1.7893     0.7118    39.8% Timing_PX    PX=0.559±0.222 mas
  J0955-6150         6.4041     3.8425    60.0% DM_YMW16     DM=160.91, ne=0.025
  J1012+5307         0.8772     0.0308     3.5% Catalog_PX   Ding et al. (2023) (VLBI), PX=1.140±0.040 mas
  J1012-4235         0.5654     0.1281    22.7% Timing_PX    PX=1.769±0.401 mas
  J1017-7156         0.2564     0.0789    30.8% Catalog_PX   Ng et al. (2014) (Timing), PX=3.900±1.200 mas
  J1022+1001         0.7210     0.0179     2.5% Catalog_PX   Deller et al. (2019) (VLBI), PX=1.387±0.035 mas
  J1024-0719         1.0753     0.0578     5.4% Catalog_PX   Ding et al. (2023) (VLBI), PX=0.930±0.050 mas
  J1036-8317         1.0600     0.7270    68.6% Timing_PX    PX=0.943±0.647 mas
  J1045-4509         0.4373     0.2187    50.0% Timing_PX    PX=2.287±1.143 mas
  J1101-6424         6.8952     4.8267    70.0% DM_YMW16     DM=207.37, ne=0.030
  J1125-5825         4.1566     2.9096    70.0% DM_YMW16     DM=124.83, ne=0.030
  J1125-6014         1.2595     0.1781    14.1% PBDOT_Shk    Pbdot_obs=6.69e-13 (GR not subtracted)
  J1216-6410         0.9397     0.1850    19.7% Timing_PX    PX=1.064±0.210 mas
  J1327-0755         1.3449     0.2161    16.1% Timing_PX    PX=0.744±0.119 mas
  J1421-4409         1.9971     0.8825    44.2% Timing_PX    PX=0.501±0.221 mas
  J1431-5740         4.3740     3.0618    70.0% DM_YMW16     DM=131.36, ne=0.030
  J1435-6100         3.7924     2.6547    70.0% DM_YMW16     DM=113.78, ne=0.030
  J1446-4701         2.4499     0.6913    28.2% Timing_PX    PX=0.408±0.115 mas
  J1455-3330         1.0101     0.2245    22.2% Catalog_PX   Guillemot et al. (2016) (Timing), PX=0.990±0.220 mas
  J1525-5545         4.2319     2.9623    70.0% DM_YMW16     DM=126.97, ne=0.030
  J1543-5149         0.8132     0.1619    19.9% Timing_PX    PX=1.230±0.245 mas
  J1545-4550         2.2393     0.4320    19.3% Timing_PX    PX=0.447±0.086 mas
  J1547-5709         0.9483     0.2795    29.5% Timing_PX    PX=1.055±0.311 mas
  J1600-3053         3.0000     0.5000    16.7% VLBI         Published VLBI
  J1603-7202         1.2735     0.3074    24.1% Timing_PX    PX=0.785±0.190 mas
  J1614-2230         0.6494     0.0422     6.5% Catalog_PX   Lassus (2013) in Fermi 2PC (Timing), PX=1.540±0.100 mas
  J1629-6902         1.3262     0.2197    16.6% Timing_PX    PX=0.754±0.125 mas
  J1640+2224         1.3699     0.1126     8.2% Catalog_PX   Ding et al. (2023) (VLBI), PX=0.730±0.060 mas
  J1643-1224         0.9091     0.0826     9.1% Catalog_PX   Ding et al. (2023) (VLBI), PX=1.100±0.100 mas
  J1652-4838         0.5782     0.0638    11.0% Timing_PX    PX=1.730±0.191 mas
  J1653-2054         2.1913     1.3148    60.0% DM_YMW16     DM=56.53, ne=0.025
  J1658-5324         1.3049     0.3860    29.6% Timing_PX    PX=0.766±0.227 mas
  J1708-3506         1.0559     0.2514    23.8% Timing_PX    PX=0.947±0.226 mas
  J1713+0747         1.0526     0.0609     5.8% Catalog_PX   Chatterjee et al. (2009) (VLBI), PX=0.950±0.055 mas
  J1719-1438         1.4342     0.8605    60.0% DM_YMW16     DM=36.77, ne=0.025
  J1721-2457         2.0281     1.0183    50.2% Timing_PX    PX=0.493±0.248 mas
  J1730-2304         0.5000     0.0250     5.0% Catalog_PX   Ding et al. (2023) (VLBI), PX=2.000±0.100 mas
  J1732-5049         0.8367     0.1215    14.5% Timing_PX    PX=1.195±0.174 mas
  J1737-0811         2.1616     1.2970    60.0% DM_YMW16     DM=55.31, ne=0.025
  J1738+0333         2.0000     0.2400    12.0% Catalog_PX   Ding et al. (2023) (VLBI), PX=0.500±0.060 mas
  J1744-1134         0.4167     0.0174     4.2% Catalog_PX   Verbiest et al. (2009) (Timing), PX=2.400±0.100 mas
  J1747-4036         1.5716     0.7858    50.0% Timing_PX    PX=0.636±0.318 mas
  J1751-2857         3.1500     2.0015    63.5% Timing_PX    PX=0.317±0.202 mas
  J1757-5322         1.1659     0.2103    18.0% Timing_PX    PX=0.858±0.155 mas
  J1801-1417         0.9858     0.2006    20.4% Timing_PX    PX=1.014±0.206 mas
  J1802-2124        49.8681     9.6114    19.3% PBDOT_Shk    Pbdot_obs=6.90e-14 (GR not subtracted)
  J1804-2717        15.7125     3.2409    20.6% PBDOT_Shk    Pbdot_obs=1.20e-11 (GR not subtracted)
  J1811-2405         2.4987     0.2620    10.5% Timing_PX    PX=0.400±0.042 mas
  J1825-0319         3.9748     2.7824    70.0% DM_YMW16     DM=119.56, ne=0.030
  J1832-0836         1.1142     0.1233    11.1% Timing_PX    PX=0.898±0.099 mas
  J1843-1113         1.7303     0.2822    16.3% Timing_PX    PX=0.578±0.094 mas
  J1853+1303         1.8868     0.2492    13.2% Catalog_PX   Ding et al. (2023) (VLBI), PX=0.530±0.070 mas
  J1857+0943         0.9091     0.1653    18.2% Catalog_PX   Verbiest et al. (2009) (Timing), PX=1.100±0.200 mas
  J1902-5105         2.4049     0.6033    25.1% Timing_PX    PX=0.416±0.104 mas
  J1903-7051         3.2136     0.7709    24.0% PBDOT_Shk    Pbdot_obs=2.65e-12 (GR not subtracted)
  J1909-3744         1.1364     0.0258     2.3% Catalog_PX   Verbiest et al. (2009) (Timing), PX=0.880±0.020 mas
  J1910+1256         3.9370     0.5425    13.8% Catalog_PX   Ding et al. (2023) (VLBI), PX=0.254±0.035 mas
  J1918-0642         1.4085     0.1389     9.9% Catalog_PX   Ding et al. (2023) (VLBI), PX=0.710±0.070 mas
  J1933-6211         2.9583     1.2842    43.4% PBDOT_Shk    Pbdot_obs=1.23e-12 (GR not subtracted)
  J1939+2134         2.8571     0.2449     8.6% Catalog_PX   Ding et al. (2023) (VLBI), PX=0.350±0.030 mas
  J1946-5403         1.4266     0.1474    10.3% Timing_PX    PX=0.701±0.072 mas
  J2010-1323         2.0833     0.6293    30.2% Catalog_PX   Deller et al. (2019) (VLBI), PX=0.480±0.145 mas
  J2017+0603         0.8333     0.3472    41.7% Catalog_PX   Guillemot et al. (2016) (Timing), PX=1.200±0.500 mas
  J2039-3616         2.3024     0.6327    27.5% Timing_PX    PX=0.434±0.119 mas
  J2124-3358         0.3226     0.0572    17.7% Catalog_PX   Verbiest et al. (2009) (Timing), PX=3.100±0.550 mas
  J2129-5721         0.5263     0.2493    47.4% Catalog_PX   Verbiest et al. (2009) (Timing), PX=1.900±0.900 mas
  J2145-0750         0.6238     0.0140     2.2% Catalog_PX   Deller et al. (2019) (VLBI), PX=1.603±0.036 mas
  J2150-0326         0.7810     0.4686    60.0% DM_YMW16     DM=20.62, ne=0.020
  J2222-0137         0.2686     0.0010     0.4% Catalog_PX   Ding et al. (2024) (VLBI), PX=3.723±0.013 mas
  J2229+2643         2.6852     0.9403    35.0% Timing_PX    PX=0.372±0.130 mas
  J2234+0944         1.9211     0.3090    16.1% Timing_PX    PX=0.521±0.084 mas
  J2241-5236         1.3864     0.0304     2.2% Timing_PX    PX=0.721±0.016 mas
  J2317+1439         1.1952     0.1849    15.5% Timing_PX    PX=0.837±0.129 mas
  J2322+2057         1.1604     0.2236    19.3% Timing_PX    PX=0.862±0.166 mas
  J2322-2650         0.7371     0.1178    16.0% Timing_PX    PX=1.357±0.217 mas
